Frame,Flat,Construction,Object,Nature,Sky,Human,Vehicle
frame_0293,0.2385,0.2445,0.0028,0.3307,0.0648,0.1055,0.0131
frame_0294,0.2335,0.2521,0.0007,0.3256,0.0690,0.1059,0.0131
frame_0295,0.1542,0.3411,0.0013,0.3176,0.0720,0.1009,0.0128
frame_0296,0.2383,0.2540,0.0030,0.3086,0.0781,0.1056,0.0124
frame_0297,0.2491,0.2481,0.0027,0.3091,0.0831,0.0996,0.0084
frame_0298,0.2398,0.2536,0.0029,0.3006,0.0876,0.1043,0.0113
frame_0299,0.2368,0.2591,0.0053,0.2928,0.0938,0.1040,0.0083
frame_0300,0.2496,0.2405,0.0037,0.2931,0.1001,0.0940,0.0190
frame_0301,0.1261,0.3777,0.0032,0.2746,0.1057,0.0944,0.0184
frame_0302,0.2406,0.2626,0.0029,0.2718,0.1112,0.1026,0.0083
frame_0303,0.2561,0.2521,0.0031,0.2681,0.1153,0.0891,0.0163
frame_0304,0.2654,0.2558,0.0010,0.2641,0.1193,0.0814,0.0130
frame_0305,0.2563,0.2559,0.0005,0.2640,0.1215,0.0828,0.0191
frame_0306,0.2614,0.2514,0.0010,0.2682,0.1225,0.0808,0.0146
frame_0307,0.2554,0.2572,0.0012,0.2673,0.1250,0.0803,0.0138
frame_0308,0.2567,0.2677,0.0025,0.2574,0.1254,0.0821,0.0082
frame_0309,0.2674,0.2527,0.0078,0.2571,0.1255,0.0806,0.0089
frame_0310,0.2630,0.2639,0.0022,0.2532,0.1266,0.0810,0.0101
frame_0311,0.2852,0.2527,0.0016,0.2524,0.1266,0.0673,0.0141
frame_0312,0.2841,0.2516,0.0026,0.2477,0.1284,0.0674,0.0183
frame_0313,0.2841,0.2571,0.0017,0.2430,0.1294,0.0691,0.0157
frame_0314,0.2811,0.2640,0.0040,0.2385,0.1305,0.0674,0.0144
frame_0315,0.2808,0.2723,0.0028,0.2329,0.1319,0.0697,0.0096
frame_0316,0.2831,0.2726,0.0026,0.2284,0.1341,0.0660,0.0133
frame_0317,0.2807,0.2670,0.0023,0.2296,0.1381,0.0657,0.0166
frame_0318,0.2919,0.2671,0.0065,0.2215,0.1404,0.0570,0.0156
frame_0319,0.2811,0.2828,0.0016,0.2175,0.1431,0.0630,0.0110
frame_0320,0.2835,0.2811,0.0029,0.2133,0.1481,0.0610,0.0099
frame_0321,0.2853,0.2906,0.0016,0.1958,0.1547,0.0625,0.0094
frame_0322,0.2927,0.2795,0.0025,0.1953,0.1616,0.0643,0.0040
frame_0323,0.2937,0.2841,0.0026,0.1869,0.1674,0.0606,0.0047
frame_0324,0.2910,0.2886,0.0022,0.1787,0.1740,0.0632,0.0023
frame_0325,0.2819,0.3013,0.0029,0.1705,0.1788,0.0607,0.0039
frame_0326,0.2802,0.3026,0.0026,0.1662,0.1841,0.0610,0.0033
frame_0327,0.2870,0.2967,0.0016,0.1625,0.1899,0.0600,0.0022
frame_0328,0.2847,0.3029,0.0015,0.1528,0.1937,0.0620,0.0023
frame_0329,0.2710,0.3148,0.0020,0.1458,0.1979,0.0659,0.0026
frame_0330,0.2737,0.3180,0.0019,0.1392,0.2009,0.0647,0.0017
frame_0331,0.2713,0.3115,0.0049,0.1335,0.2038,0.0710,0.0039
frame_0332,0.2714,0.3070,0.0029,0.1273,0.2052,0.0575,0.0286
frame_0333,0.2667,0.3263,0.0018,0.1151,0.2133,0.0750,0.0017
frame_0334,0.2695,0.3195,0.0029,0.1135,0.2185,0.0723,0.0037
frame_0335,0.2727,0.3233,0.0028,0.1098,0.2200,0.0657,0.0057
frame_0336,0.2725,0.3272,0.0024,0.1056,0.2238,0.0673,0.0012
