Frame,GreenViewIndex
frame_0694,0.1393
frame_0695,0.1423
frame_0696,0.1432
frame_0697,0.1481
frame_0698,0.1531
frame_0699,0.1549
frame_0700,0.1604
frame_0701,0.1672
frame_0702,0.1725
frame_0703,0.1759
frame_0704,0.1839
frame_0705,0.1908
frame_0706,0.1966
frame_0707,0.2047
frame_0708,0.2116
frame_0709,0.2138
frame_0710,0.2175
frame_0711,0.2213
frame_0712,0.2262
frame_0713,0.2329
frame_0714,0.2369
frame_0715,0.2439
frame_0716,0.2468
frame_0717,0.2538
frame_0718,0.2640
frame_0719,0.2670
frame_0720,0.2698
frame_0721,0.2692
frame_0722,0.2641
frame_0723,0.2654
frame_0724,0.2590
frame_0725,0.2613
frame_0726,0.2646
frame_0727,0.2727
frame_0728,0.2811
frame_0729,0.2891
frame_0730,0.2969
frame_0731,0.3088
frame_0732,0.3155
frame_0733,0.3332
frame_0734,0.3372
frame_0735,0.3342
frame_0736,0.3348
frame_0737,0.3324
frame_0738,0.3282
frame_0739,0.3357
frame_0740,0.3511
frame_0741,0.3593
frame_0742,0.3445
frame_0743,0.3270
frame_0744,0.3159
frame_0745,0.3075
frame_0746,0.3041
frame_0747,0.3057
frame_0748,0.2992
frame_0749,0.3059
frame_0750,0.3080
frame_0751,0.3061
frame_0752,0.3055
frame_0753,0.3070
frame_0754,0.3127
frame_0755,0.3334
frame_0756,0.3459
frame_0757,0.3473
frame_0758,0.3436
frame_0759,0.3475
frame_0760,0.3482
frame_0761,0.3519
frame_0762,0.3593
frame_0763,0.3655
frame_0764,0.3616
frame_0765,0.3650
frame_0766,0.3639
frame_0767,0.3653
frame_0768,0.3679
frame_0769,0.3685
frame_0770,0.3707
frame_0771,0.3772
frame_0772,0.3839
frame_0773,0.3682
frame_0774,0.3514
frame_0775,0.3466
frame_0776,0.3362
frame_0777,0.3299
frame_0778,0.3284
frame_0779,0.3210
frame_0780,0.3144
frame_0781,0.3106
frame_0782,0.2997
frame_0783,0.2912
frame_0784,0.2816
frame_0785,0.2690
frame_0786,0.2590
frame_0787,0.2488
frame_0788,0.2491
frame_0789,0.2550
frame_0790,0.2715
frame_0791,0.2741
frame_0792,0.2481
frame_0793,0.2447
frame_0794,0.2320
frame_0795,0.2265
frame_0796,0.2254
frame_0797,0.2127
frame_0798,0.2114
frame_0799,0.1959
